Age,Attrition,BusinessTravel,Department,DistanceFromHome,EmployeeNumber,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,YearsAtCompany
29,No,Travel_Rarely,Research & Development,9,455,1,Laboratory Technician,4,3983,0,3
30,No,Travel_Rarely,Sales,5,456,2,Sales Executive,3,6118,1,10
27,No,Travel_Rarely,Sales,8,458,2,Sales Executive,2,6214,1,8
37,No,Travel_Rarely,Research & Development,5,460,2,Manufacturing Director,4,6347,7,6
38,No,Travel_Rarely,Research & Development,15,461,3,Research Director,4,11510,0,11
31,No,Travel_Rarely,Research & Development,7,462,3,Manufacturing Director,4,7143,1,11
29,No,Travel_Rarely,Sales,10,463,2,Sales Executive,2,8268,1,7
35,No,Travel_Rarely,Research & Development,5,464,3,Manufacturing Director,2,8095,0,16
23,No,Travel_Rarely,Research & Development,26,465,1,Research Scientist,4,2904,1,4
41,No,Travel_Rarely,Research & Development,6,466,2,Manufacturing Director,2,6032,6,5
47,No,Travel_Frequently,Sales,4,467,2,Sales Representative,3,2976,3,0
42,No,Travel_Rarely,Research & Development,23,468,4,Research Director,4,15992,2,1
29,No,Non-Travel,Sales,2,469,2,Sales Executive,3,4649,1,4
42,No,Travel_Rarely,Human Resources,2,470,1,Human Resources,3,2696,0,3
32,No,Travel_Rarely,Research & Development,2,471,1,Laboratory Technician,2,2370,1,8
48,No,Travel_Rarely,Sales,29,473,3,Manager,3,12504,3,0
37,No,Travel_Rarely,Research & Development,6,474,2,Research Scientist,1,5974,4,7
30,No,Non-Travel,Sales,25,475,2,Sales Executive,3,4736,7,2
26,No,Travel_Rarely,Sales,1,476,2,Sales Executive,3,5296,1,8
42,No,Travel_Rarely,Research & Development,2,477,2,Healthcare Representative,4,6781,3,1
21,Yes,Travel_Frequently,Sales,1,478,1,Sales Representative,2,2174,1,3
36,No,Non-Travel,Sales,1,479,2,Sales Executive,4,6653,4,1
36,No,Travel_Frequently,Sales,3,481,3,Sales Executive,4,9699,4,13
57,No,Travel_Rarely,Research & Development,1,482,2,Healthcare Representative,3,6755,2,3
40,No,Travel_Rarely,Research & Development,10,483,1,Laboratory Technician,3,2213,3,7
21,No,Non-Travel,Sales,9,484,1,Sales Representative,4,2610,1,3
33,Yes,Travel_Rarely,Sales,5,485,1,Sales Representative,3,2851,1,1
37,No,Travel_Rarely,Research & Development,10,486,1,Laboratory Technician,1,3452,6,5
46,No,Non-Travel,Research & Development,7,487,2,Manufacturing Director,3,5258,2,1
41,Yes,Travel_Frequently,Sales,4,488,2,Sales Executive,2,9355,1,8
50,No,Travel_Rarely,Research & Development,10,491,3,Healthcare Representative,4,10496,6,4
40,Yes,Travel_Rarely,Sales,22,492,2,Sales Executive,3,6380,2,6
31,No,Travel_Rarely,Research & Development,9,493,1,Research Scientist,2,2657,0,2
21,Yes,Travel_Rarely,Sales,12,494,1,Sales Representative,2,2716,1,1
29,No,Travel_Rarely,Research & Development,23,495,1,Research Scientist,4,2201,9,3
35,No,Travel_Rarely,Research & Development,9,496,2,Healthcare Representative,2,6540,9,1
27,No,Travel_Rarely,Research & Development,1,497,1,Laboratory Technician,2,3816,1,5
28,No,Travel_Rarely,Sales,9,498,2,Sales Executive,4,5253,1,7
49,No,Travel_Rarely,Research & Development,7,499,3,Healthcare Representative,3,10965,8,5
51,No,Travel_Rarely,Sales,14,500,2,Sales Executive,4,4936,4,7
36,No,Travel_Rarely,Research & Development,2,501,1,Research Scientist,3,2543,4,2
34,Yes,Non-Travel,Sales,19,502,2,Sales Executive,4,5304,8,5
55,No,Travel_Rarely,Research & Development,2,505,4,Manager,4,16659,2,5
24,No,Travel_Rarely,Sales,10,507,2,Sales Executive,3,4260,1,5
30,No,Travel_Rarely,Sales,2,508,1,Sales Representative,2,2476,1,1
26,Yes,Travel_Frequently,Research & Development,3,510,1,Research Scientist,1,3102,0,6
22,No,Travel_Rarely,Research & Development,11,511,1,Research Scientist,2,2244,1,2
36,No,Travel_Rarely,Sales,2,513,3,Sales Executive,3,7596,1,10
30,Yes,Travel_Frequently,Research & Development,4,514,1,Research Scientist,4,2285,9,1
37,No,Travel_Rarely,Research & Development,14,515,1,Laboratory Technician,1,3034,1,18
40,No,Travel_Rarely,Sales,2,516,2,Sales Executive,2,5715,7,5
42,No,Travel_Rarely,Research & Development,1,517,1,Laboratory Technician,1,2576,3,5
37,No,Travel_Rarely,Research & Development,10,518,2,Manufacturing Director,2,4197,2,1
43,No,Travel_Rarely,Research & Development,12,520,4,Research Director,2,14336,1,25
40,No,Travel_Rarely,Research & Development,2,521,2,Laboratory Technician,3,3448,6,1
54,No,Travel_Rarely,Research & Development,5,522,5,Research Director,1,19406,4,4
34,No,Non-Travel,Sales,4,523,2,Sales Executive,3,6538,9,3
31,No,Travel_Rarely,Research & Development,7,524,2,Manufacturing Director,1,4306,1,13
43,No,Travel_Frequently,Research & Development,21,525,1,Laboratory Technician,4,2258,7,3
43,No,Travel_Rarely,Research & Development,8,526,2,Healthcare Representative,3,4522,4,5
25,No,Travel_Rarely,Sales,4,527,2,Sales Executive,4,4487,1,5
37,No,Non-Travel,Research & Development,25,529,2,Research Scientist,3,4449,3,13
31,No,Travel_Rarely,Research & Development,1,530,1,Laboratory Technician,1,2218,1,4
39,No,Travel_Frequently,Research & Development,1,531,5,Manager,3,19197,1,21
56,No,Travel_Frequently,Sales,6,532,4,Sales Executive,1,13212,9,7
30,No,Travel_Rarely,Sales,12,533,2,Sales Executive,3,6577,0,5
41,No,Travel_Rarely,Sales,1,534,3,Sales Executive,1,8392,1,10
28,No,Travel_Rarely,Research & Development,17,536,2,Laboratory Technician,1,4558,1,10
25,Yes,Travel_Rarely,Research & Development,3,538,1,Laboratory Technician,1,4031,5,2
52,No,Travel_Rarely,Research & Development,3,543,3,Manufacturing Director,3,7969,2,5
45,No,Travel_Rarely,Research & Development,10,544,1,Research Scientist,4,2654,3,2
52,No,Travel_Rarely,Research & Development,4,546,4,Manager,4,16555,2,5
42,No,Travel_Frequently,Research & Development,29,547,2,Research Scientist,3,4556,2,5
30,No,Travel_Rarely,Research & Development,2,548,2,Manufacturing Director,4,6091,2,5
60,No,Travel_Rarely,Research & Development,7,549,5,Manager,1,19566,5,29
46,No,Travel_Rarely,Research & Development,18,550,2,Manufacturing Director,3,4810,2,10
42,No,Travel_Frequently,Research & Development,28,551,2,Healthcare Representative,4,4523,0,6
24,Yes,Travel_Rarely,Sales,1,554,1,Sales Representative,2,3202,1,5
34,Yes,Travel_Frequently,Sales,6,555,1,Sales Representative,3,2351,0,2
38,No,Travel_Frequently,Research & Development,2,556,1,Laboratory Technician,4,1702,1,1
40,No,Travel_Rarely,Sales,2,558,5,Manager,3,18041,0,20
26,No,Travel_Rarely,Research & Development,23,560,1,Research Scientist,4,2886,1,3
30,No,Non-Travel,Research & Development,3,562,1,Laboratory Technician,4,2097,4,5
29,No,Travel_Rarely,Research & Development,3,564,3,Research Director,3,11935,1,10
29,Yes,Travel_Rarely,Research & Development,25,565,1,Research Scientist,2,2546,5,2
19,Yes,Travel_Rarely,Human Resources,2,566,1,Human Resources,4,2564,1,1
30,No,Non-Travel,Sales,22,567,3,Sales Executive,1,8412,0,9
57,No,Travel_Rarely,Sales,29,568,4,Manager,4,14118,3,1
50,No,Travel_Rarely,Research & Development,29,569,4,Manager,3,17046,0,27
30,No,Non-Travel,Research & Development,2,571,1,Laboratory Technician,4,2564,0,11
60,No,Travel_Frequently,Sales,28,573,3,Sales Executive,1,10266,4,18
47,No,Travel_Rarely,Research & Development,2,574,2,Manufacturing Director,4,5070,5,5
46,No,Travel_Rarely,Research & Development,2,575,4,Research Director,3,17861,6,3
35,No,Travel_Rarely,Research & Development,22,577,1,Laboratory Technician,3,4230,0,5
54,No,Travel_Rarely,Research & Development,8,578,2,Laboratory Technician,3,3780,7,1
34,No,Travel_Rarely,Research & Development,2,579,1,Research Scientist,3,2768,3,7
46,No,Travel_Rarely,Sales,10,580,3,Sales Executive,4,9071,2,3
31,No,Travel_Rarely,Research & Development,9,581,3,Manufacturing Director,2,10648,1,13
33,Yes,Travel_Rarely,Research & Development,15,582,3,Manager,3,13610,7,7
33,Yes,Travel_Rarely,Research & Development,10,584,1,Laboratory Technician,4,3408,7,4
30,No,Travel_Rarely,Sales,7,585,1,Sales Representative,2,2983,0,3
35,No,Travel_Rarely,Research & Development,16,586,3,Healthcare Representative,3,7632,4,8
31,Yes,Travel_Frequently,Research & Development,20,587,3,Healthcare Representative,3,9824,3,1
34,Yes,Travel_Frequently,Human Resources,23,590,3,Human Resources,1,9950,9,3
42,No,Travel_Frequently,Research & Development,5,591,1,Laboratory Technician,3,2093,4,2
36,No,Non-Travel,Sales,10,592,3,Sales Executive,4,9980,1,10
22,Yes,Travel_Frequently,Research & Development,4,593,1,Laboratory Technician,3,3894,5,2
48,No,Travel_Rarely,Sales,2,595,2,Sales Executive,4,4051,2,9
55,No,Travel_Rarely,Sales,18,597,4,Manager,2,16835,3,10
41,No,Non-Travel,Sales,10,599,2,Sales Executive,4,6230,7,14
35,No,Travel_Rarely,Sales,1,600,2,Sales Executive,3,4717,9,11
40,No,Travel_Rarely,Research & Development,6,601,4,Manufacturing Director,3,13237,7,20
39,No,Travel_Frequently,Research & Development,8,602,1,Laboratory Technician,3,3755,1,8
31,No,Travel_Rarely,Sales,2,604,2,Sales Executive,4,6582,4,6
42,No,Travel_Rarely,Research & Development,24,605,3,Manufacturing Director,1,7406,1,10
45,No,Travel_Rarely,Sales,2,606,2,Sales Executive,2,4805,0,8
26,Yes,Travel_Frequently,Human Resources,17,608,1,Human Resources,3,2741,0,7
29,No,Travel_Rarely,Research & Development,19,611,2,Manufacturing Director,4,4262,4,3
33,No,Travel_Rarely,Research & Development,1,612,4,Research Director,3,16184,4,6
31,No,Travel_Rarely,Sales,7,613,3,Manager,4,11557,9,5
18,Yes,Travel_Frequently,Sales,5,614,1,Sales Representative,2,1878,1,0
40,No,Non-Travel,Sales,28,615,3,Sales Executive,1,10932,3,1
41,No,Non-Travel,Research & Development,2,616,2,Healthcare Representative,3,6811,2,8
26,No,Travel_Rarely,Sales,29,618,2,Sales Executive,3,4306,5,0
35,No,Travel_Rarely,Sales,1,620,2,Sales Executive,3,4859,1,5
34,No,Travel_Rarely,Sales,21,621,2,Sales Executive,4,5337,1,10
26,Yes,Travel_Rarely,Research & Development,24,622,1,Laboratory Technician,4,2340,1,1
37,No,Travel_Rarely,Research & Development,1,623,3,Manufacturing Director,4,7491,4,6
46,No,Travel_Frequently,Research & Development,18,624,3,Healthcare Representative,3,10527,5,2
41,No,Travel_Rarely,Sales,2,625,4,Manager,1,16595,7,18
37,No,Non-Travel,Sales,9,626,3,Sales Executive,2,8834,1,9
52,No,Travel_Rarely,Research & Development,6,630,2,Research Scientist,1,5577,3,10
32,Yes,Non-Travel,Sales,11,631,2,Sales Executive,3,4707,8,4
24,No,Travel_Frequently,Sales,24,632,1,Sales Representative,4,2400,0,2
38,No,Travel_Rarely,Research & Development,10,634,2,Healthcare Representative,3,9824,3,1
37,No,Travel_Rarely,Research & Development,1,635,2,Manufacturing Director,2,6447,6,6
49,No,Travel_Rarely,Research & Development,18,638,5,Research Director,3,19502,1,31
24,No,Travel_Rarely,Research & Development,23,639,1,Research Scientist,4,2725,1,6
26,No,Travel_Rarely,Sales,28,641,2,Sales Executive,2,6272,1,5
24,No,Travel_Rarely,Research & Development,17,643,1,Laboratory Technician,2,2127,1,1
50,No,Travel_Frequently,Human Resources,3,644,5,Manager,2,18200,1,32
25,No,Travel_Rarely,Sales,13,645,1,Sales Representative,3,2096,1,7
24,Yes,Travel_Frequently,Research & Development,7,647,1,Laboratory Technician,3,2886,1,6
30,Yes,Travel_Frequently,Sales,12,648,1,Sales Representative,1,2033,1,1
34,No,Travel_Rarely,Research & Development,1,649,1,Research Scientist,4,3622,1,6
31,Yes,Travel_Rarely,Sales,13,650,2,Sales Executive,1,4233,2,3
35,No,Travel_Rarely,Research & Development,25,652,2,Laboratory Technician,4,3681,4,3
31,No,Travel_Rarely,Sales,6,653,2,Sales Executive,4,5460,4,7
27,No,Travel_Rarely,Research & Development,6,655,1,Research Scientist,3,2187,0,5
37,No,Travel_Rarely,Sales,2,656,2,Sales Executive,3,9602,4,3
20,No,Travel_Rarely,Research & Development,1,657,1,Research Scientist,2,2836,1,1
42,No,Travel_Rarely,Research & Development,2,659,2,Healthcare Representative,4,4089,1,10
43,No,Travel_Rarely,Research & Development,6,661,4,Research Director,4,16627,4,1
38,No,Travel_Rarely,Research & Development,1,662,1,Research Scientist,1,2619,3,0
43,No,Travel_Frequently,Research & Development,9,663,2,Laboratory Technician,3,5679,3,8
48,No,Travel_Rarely,Research & Development,1,664,4,Manager,1,15402,7,3
44,No,Travel_Rarely,Human Resources,1,665,2,Human Resources,3,5985,4,2
34,No,Travel_Rarely,Sales,14,666,1,Sales Representative,3,2579,1,8
27,Yes,Travel_Rarely,Sales,2,667,1,Sales Representative,1,3041,0,4
21,No,Travel_Rarely,Sales,22,669,1,Sales Representative,3,3447,1,3
44,No,Travel_Rarely,Research & Development,3,671,5,Manager,4,19513,4,2
22,No,Travel_Rarely,Research & Development,6,675,1,Research Scientist,3,2773,0,2
33,No,Travel_Rarely,Sales,8,677,2,Sales Executive,3,7104,0,5
32,No,Travel_Rarely,Research & Development,9,679,2,Research Scientist,4,6322,1,6
30,No,Travel_Frequently,Research & Development,3,680,1,Research Scientist,3,2083,1,1
53,No,Travel_Rarely,Sales,1,682,2,Sales Executive,1,8381,7,14
34,No,Travel_Rarely,Research & Development,1,683,1,Research Scientist,4,2691,1,10
45,Yes,Travel_Frequently,Sales,26,684,2,Sales Executive,1,4286,2,1
26,No,Travel_Rarely,Research & Development,6,686,1,Laboratory Technician,4,2659,1,3
37,No,Travel_Rarely,Research & Development,3,689,3,Manufacturing Director,3,9434,1,10
29,No,Travel_Rarely,Sales,3,690,2,Sales Executive,3,5561,1,6
35,No,Travel_Rarely,Research & Development,6,691,2,Research Scientist,4,6646,1,17
33,No,Travel_Frequently,Research & Development,6,692,2,Healthcare Representative,4,7725,3,13
54,No,Travel_Rarely,Human Resources,19,698,3,Human Resources,2,10725,2,9
36,No,Travel_Rarely,Research & Development,9,699,2,Manufacturing Director,2,8847,2,3
27,No,Travel_Rarely,Research & Development,3,700,1,Research Scientist,4,2045,0,4
20,Yes,Travel_Rarely,Research & Development,10,701,1,Research Scientist,3,1009,1,1
33,Yes,Travel_Frequently,Research & Development,3,702,1,Research Scientist,1,3348,1,10
35,No,Non-Travel,Research & Development,3,704,1,Laboratory Technician,3,1281,1,1
23,No,Travel_Rarely,Research & Development,4,705,1,Research Scientist,1,2819,2,3
25,No,Travel_Rarely,Sales,8,707,2,Sales Executive,2,4851,0,3
38,No,Travel_Rarely,Sales,7,709,2,Sales Executive,4,4028,0,7
29,No,Travel_Frequently,Research & Development,1,710,1,Research Scientist,4,2720,1,10
48,No,Travel_Rarely,Sales,2,712,2,Sales Executive,2,8120,3,2
27,No,Travel_Frequently,Sales,3,714,2,Sales Executive,4,4647,1,6
37,No,Travel_Rarely,Research & Development,10,715,1,Research Scientist,4,4680,3,1
50,No,Travel_Rarely,Research & Development,28,716,1,Laboratory Technician,3,3221,1,20
34,No,Travel_Rarely,Research & Development,9,717,3,Healthcare Representative,2,8621,1,8
24,Yes,Travel_Rarely,Sales,3,720,2,Sales Executive,3,4577,9,2
39,No,Travel_Rarely,Research & Development,2,721,2,Healthcare Representative,3,4553,1,20
32,No,Travel_Rarely,Sales,10,722,2,Sales Executive,4,5396,1,10
50,Yes,Travel_Frequently,Sales,8,723,2,Sales Executive,3,6796,3,4
38,No,Travel_Rarely,Research & Development,1,724,2,Healthcare Representative,4,7625,0,9
27,No,Travel_Rarely,Research & Development,1,725,3,Manufacturing Director,1,7412,1,9
32,No,Travel_Rarely,Research & Development,3,727,3,Research Director,4,11159,3,7
47,No,Travel_Rarely,Sales,14,728,2,Sales Executive,1,4960,2,7
40,No,Travel_Frequently,Sales,5,729,3,Sales Executive,1,10475,5,18
53,No,Travel_Rarely,Research & Development,7,730,4,Research Director,3,14814,3,5
41,No,Travel_Rarely,Human Resources,10,731,5,Manager,4,19141,3,21
60,No,Travel_Rarely,Sales,16,732,2,Sales Executive,1,5405,8,2
27,No,Travel_Frequently,Research & Development,10,733,3,Manufacturing Director,1,8793,1,9
41,No,Travel_Rarely,Human Resources,1,734,5,Manager,3,19189,1,22
50,No,Travel_Rarely,Sales,8,738,1,Sales Representative,2,3875,7,2
28,Yes,Travel_Rarely,Research & Development,1,741,1,Research Scientist,2,2216,7,7
36,No,Non-Travel,Research & Development,8,742,3,Research Director,1,11713,9,8
38,No,Travel_Rarely,Research & Development,1,743,3,Manufacturing Director,3,7861,4,1
44,No,Non-Travel,Research & Development,24,744,1,Laboratory Technician,3,3708,2,5
47,No,Travel_Frequently,Sales,3,746,4,Sales Executive,3,13770,9,22
30,No,Travel_Rarely,Sales,27,747,2,Sales Executive,4,5304,7,8
29,No,Travel_Rarely,Sales,10,749,1,Sales Representative,3,2642,1,1
42,Yes,Travel_Frequently,Research & Development,19,752,1,Research Scientist,3,2759,6,2
43,No,Travel_Frequently,Sales,15,754,2,Sales Executive,4,6804,3,2
34,No,Travel_Rarely,Research & Development,8,757,2,Healthcare Representative,3,6142,3,5
23,No,Travel_Rarely,Research & Development,9,758,1,Laboratory Technician,1,2500,1,4
39,No,Travel_Rarely,Human Resources,3,760,2,Human Resources,2,6389,9,8
56,No,Travel_Rarely,Research & Development,9,762,4,Healthcare Representative,4,11103,7,10
40,No,Travel_Rarely,Research & Development,2,763,1,Research Scientist,4,2342,0,4
27,No,Travel_Rarely,Research & Development,7,764,2,Healthcare Representative,1,6811,8,7
29,No,Travel_Rarely,Sales,10,766,1,Sales Representative,2,2297,1,2
53,No,Travel_Rarely,Research & Development,6,769,2,Laboratory Technician,4,2450,2,2
35,No,Non-Travel,Research & Development,2,771,2,Healthcare Representative,1,5093,2,1
32,No,Travel_Frequently,Research & Development,24,772,2,Laboratory Technician,4,5309,1,10
38,No,Travel_Rarely,Research & Development,2,773,1,Research Scientist,3,3057,6,1
34,No,Travel_Rarely,Research & Development,8,775,2,Manufacturing Director,1,5121,3,0
52,No,Travel_Rarely,Sales,3,776,4,Manager,1,16856,1,34
33,Yes,Travel_Rarely,Research & Development,1,780,1,Research Scientist,4,2686,1,10
25,No,Travel_Rarely,Sales,26,781,2,Sales Executive,4,6180,1,6
45,No,Travel_Rarely,Sales,2,783,2,Sales Representative,3,6632,0,8
23,No,Travel_Rarely,Research & Development,10,784,1,Research Scientist,3,3505,1,2
47,Yes,Travel_Frequently,Sales,27,785,2,Sales Executive,3,6397,4,5
34,No,Travel_Rarely,Sales,2,786,2,Sales Executive,4,6274,1,6
55,Yes,Travel_Rarely,Research & Development,2,787,5,Manager,1,19859,5,5
36,No,Non-Travel,Sales,8,789,3,Sales Executive,1,7587,1,10
52,No,Non-Travel,Research & Development,19,791,1,Research Scientist,4,4258,0,4
26,No,Travel_Frequently,Research & Development,1,792,1,Laboratory Technician,4,4364,3,2
29,No,Travel_Rarely,Research & Development,27,793,2,Healthcare Representative,3,4335,4,8
26,Yes,Travel_Rarely,Sales,8,796,2,Sales Executive,1,5326,6,4
34,No,Travel_Rarely,Research & Development,1,797,1,Research Scientist,4,3280,2,4
54,No,Travel_Rarely,Research & Development,19,799,2,Manufacturing Director,1,5485,9,5
27,No,Travel_Frequently,Sales,8,800,2,Sales Executive,4,4342,0,4
37,No,Travel_Rarely,Research & Development,10,802,1,Research Scientist,1,2782,0,5
38,No,Travel_Frequently,Research & Development,2,803,2,Manufacturing Director,1,5980,6,15
34,No,Travel_Rarely,Research & Development,2,804,1,Research Scientist,1,4381,1,6
35,No,Travel_Rarely,Sales,8,805,1,Sales Representative,4,2572,1,3
30,No,Travel_Rarely,Research & Development,1,806,1,Laboratory Technician,3,3833,3,2
40,No,Travel_Frequently,Research & Development,2,807,2,Healthcare Representative,2,4244,1,8
34,No,Travel_Rarely,Sales,8,808,2,Sales Executive,1,6500,5,3
42,No,Travel_Frequently,Research & Development,8,809,5,Manager,4,18430,1,24
23,Yes,Travel_Rarely,Research & Development,6,811,1,Laboratory Technician,1,1601,1,0
24,No,Non-Travel,Research & Development,9,812,1,Laboratory Technician,2,2694,1,1
52,No,Travel_Rarely,Research & Development,11,813,2,Laboratory Technician,3,3149,8,5
50,No,Travel_Rarely,Research & Development,2,815,4,Research Director,3,17639,5,4
29,Yes,Travel_Rarely,Research & Development,1,816,1,Laboratory Technician,1,2319,1,1
33,No,Travel_Rarely,Research & Development,7,817,3,Research Director,3,11691,0,13
33,Yes,Travel_Rarely,Sales,16,819,2,Sales Executive,1,5324,5,3
47,No,Travel_Rarely,Research & Development,2,820,4,Manager,4,16752,1,26
36,No,Travel_Rarely,Research & Development,1,823,2,Manufacturing Director,2,5228,0,9
29,No,Travel_Rarely,Research & Development,23,824,1,Research Scientist,3,2700,1,10
58,Yes,Travel_Rarely,Research & Development,2,825,5,Research Director,2,19246,7,31
35,No,Travel_Rarely,Research & Development,1,826,1,Research Scientist,3,2506,3,2
42,No,Travel_Rarely,Research & Development,1,827,2,Manufacturing Director,4,6062,9,4
28,Yes,Travel_Rarely,Research & Development,2,828,1,Research Scientist,3,4382,6,2
36,No,Travel_Rarely,Human Resources,13,829,1,Human Resources,2,2143,4,5
32,No,Travel_Rarely,Research & Development,4,830,2,Manufacturing Director,3,6162,1,14
40,No,Travel_Frequently,Research & Development,16,832,2,Laboratory Technician,3,5094,6,1
30,No,Travel_Rarely,Research & Development,2,833,2,Manufacturing Director,4,6877,5,0
45,No,Travel_Rarely,Research & Development,2,834,1,Research Scientist,3,2274,1,1
42,No,Travel_Rarely,Research & Development,29,836,2,Manufacturing Director,2,4434,1,9
38,No,Travel_Frequently,Research & Development,12,837,2,Healthcare Representative,1,6288,2,4
34,No,Travel_Frequently,Research & Development,16,838,1,Research Scientist,4,2553,1,5
49,Yes,Travel_Rarely,Sales,11,840,3,Sales Executive,4,7654,1,9
55,Yes,Travel_Rarely,Sales,2,842,2,Sales Executive,4,5160,4,9
43,No,Travel_Rarely,Research & Development,14,843,4,Research Director,1,17159,6,4
27,No,Travel_Rarely,Research & Development,5,844,3,Research Director,4,12808,1,9
35,No,Travel_Rarely,Research & Development,7,845,3,Manufacturing Director,3,10221,3,8
28,No,Travel_Rarely,Sales,2,846,2,Sales Executive,2,4779,1,8
34,No,Travel_Rarely,Human Resources,3,847,1,Human Resources,4,3737,0,3
26,Yes,Travel_Frequently,Research & Development,5,848,1,Research Scientist,3,2366,1,8
27,No,Non-Travel,Research & Development,3,850,1,Research Scientist,4,1706,1,0
51,No,Travel_Rarely,Sales,26,851,4,Manager,3,16307,2,20
44,No,Travel_Rarely,Research & Development,4,852,2,Healthcare Representative,2,5933,9,5
25,No,Travel_Rarely,Research & Development,2,854,1,Research Scientist,1,3424,7,4
33,No,Travel_Rarely,Sales,1,855,2,Sales Executive,1,4037,1,9
35,No,Travel_Rarely,Research & Development,27,856,1,Research Scientist,1,2559,1,6
36,No,Travel_Rarely,Sales,1,857,2,Sales Executive,4,6201,1,18
32,No,Travel_Rarely,Sales,13,859,2,Sales Executive,4,4403,2,5
30,No,Travel_Frequently,Research & Development,5,861,1,Research Scientist,4,3761,9,5
53,No,Travel_Rarely,Sales,7,862,3,Sales Executive,4,10934,7,5
45,No,Travel_Rarely,Sales,9,864,3,Sales Executive,1,10761,4,5
32,No,Travel_Rarely,Research & Development,8,865,2,Research Scientist,3,5175,5,5
52,No,Travel_Frequently,Research & Development,25,867,4,Manufacturing Director,4,13826,3,9
37,No,Travel_Rarely,Sales,16,868,2,Sales Executive,3,6334,4,1
28,No,Travel_Rarely,Human Resources,8,869,1,Human Resources,4,4936,1,5
22,No,Travel_Rarely,Research & Development,1,872,2,Manufacturing Director,4,4775,6,2
44,No,Travel_Rarely,Research & Development,8,874,1,Laboratory Technician,4,2818,2,3
42,No,Travel_Frequently,Research & Development,2,875,1,Research Scientist,4,2515,5,2
36,No,Travel_Rarely,Human Resources,8,878,1,Human Resources,1,2342,0,5
25,No,Travel_Rarely,Sales,3,879,2,Sales Executive,1,4194,1,5
35,No,Travel_Rarely,Research & Development,9,880,3,Manufacturing Director,3,10685,1,17
35,Yes,Travel_Frequently,Research & Development,25,881,1,Research Scientist,2,2022,1,10
32,No,Non-Travel,Research & Development,1,882,1,Laboratory Technician,4,2314,0,3
25,No,Travel_Rarely,Sales,4,885,2,Sales Executive,1,4256,1,5
49,No,Travel_Rarely,Research & Development,1,887,1,Research Scientist,1,3580,2,4
24,No,Non-Travel,Research & Development,4,888,1,Laboratory Technician,4,3162,0,5
32,No,Travel_Frequently,Sales,5,889,2,Sales Executive,2,6524,1,10
38,No,Travel_Rarely,Sales,9,893,1,Sales Representative,2,2899,0,2
42,No,Travel_Rarely,Research & Development,3,894,2,Laboratory Technician,4,5231,2,5
31,No,Travel_Rarely,Research & Development,11,895,1,Research Scientist,4,2356,3,6
29,Yes,Travel_Rarely,Sales,1,896,1,Sales Representative,3,2800,6,3
53,No,Travel_Rarely,Sales,8,897,4,Sales Executive,4,11836,5,2
35,No,Travel_Rarely,Research & Development,25,899,3,Manufacturing Director,2,10903,3,13
37,No,Travel_Frequently,Sales,21,900,1,Sales Representative,4,2973,5,5
53,No,Travel_Rarely,Research & Development,23,901,4,Research Director,4,14275,6,12
43,No,Travel_Frequently,Research & Development,1,902,2,Healthcare Representative,4,5562,4,5
47,No,Travel_Rarely,Sales,2,903,2,Sales Executive,4,4537,0,7
37,No,Non-Travel,Sales,19,904,3,Sales Executive,2,7642,1,10
50,No,Non-Travel,Research & Development,2,905,4,Manager,1,17924,1,31
39,No,Travel_Rarely,Human Resources,2,909,2,Human Resources,4,5204,8,5
33,No,Travel_Rarely,Human Resources,3,910,1,Human Resources,2,2277,3,4
32,Yes,Travel_Rarely,Research & Development,25,911,1,Laboratory Technician,4,2795,1,1
29,No,Travel_Rarely,Research & Development,7,912,1,Laboratory Technician,4,2532,6,4
44,No,Travel_Rarely,Research & Development,9,913,1,Research Scientist,1,2559,1,8
28,No,Travel_Rarely,Sales,5,916,2,Sales Executive,4,4908,1,4
58,Yes,Travel_Frequently,Research & Development,2,918,1,Laboratory Technician,4,2380,9,1
43,No,Travel_Rarely,Research & Development,8,920,2,Manufacturing Director,2,4765,4,1
20,Yes,Travel_Rarely,Sales,2,922,1,Sales Representative,3,2044,1,2
21,Yes,Travel_Rarely,Research & Development,18,923,1,Research Scientist,4,2693,1,1
36,No,Travel_Rarely,Research & Development,14,924,2,Healthcare Representative,4,6586,0,16
47,No,Travel_Rarely,Sales,2,925,1,Sales Representative,4,3294,1,3
22,Yes,Travel_Rarely,Research & Development,3,926,2,Manufacturing Director,3,4171,0,3
41,Yes,Travel_Rarely,Research & Development,2,927,1,Laboratory Technician,4,2778,4,7
28,No,Travel_Rarely,Research & Development,9,930,1,Research Scientist,3,2377,5,2
39,Yes,Travel_Rarely,Research & Development,6,932,1,Laboratory Technician,1,2404,7,2
27,No,Travel_Rarely,Research & Development,4,933,1,Research Scientist,3,2318,1,1
34,No,Travel_Rarely,Research & Development,10,934,1,Laboratory Technician,2,2008,1,1
42,No,Travel_Rarely,Sales,14,936,2,Sales Executive,3,6244,7,5
33,No,Travel_Rarely,Research & Development,1,939,1,Research Scientist,1,2799,3,3
58,No,Travel_Rarely,Research & Development,5,940,3,Healthcare Representative,2,10552,2,6
31,No,Travel_Rarely,Sales,7,941,1,Sales Representative,3,2329,3,7
35,No,Travel_Rarely,Research & Development,21,942,2,Healthcare Representative,4,4014,1,10
49,No,Travel_Rarely,Research & Development,8,944,3,Laboratory Technician,2,7403,4,26
